prefix,sequence,round_trip_ms
finn-init-rtt-20260726-1785093635,1,330.921
finn-init-rtt-20260726-1785093635,2,334.824
finn-init-rtt-20260726-1785093635,3,344.130
finn-init-rtt-20260726-1785093635,4,351.011
finn-init-rtt-20260726-1785093635,5,365.128
finn-init-rtt-20260726-1785093635,6,365.844
finn-init-rtt-20260726-1785093635,7,380.616
finn-init-rtt-20260726-1785093635,8,380.727
finn-init-rtt-20260726-1785093635,9,404.722
finn-init-rtt-20260726-1785093635,10,395.992
finn-init-rtt-20260726-1785093635,11,421.930
finn-init-rtt-20260726-1785093635,12,423.875
