prefix,sequence,sent_ns,received_ns,latency_ms
f2s-20260726,1,1785091813773870000,1785091813973600000,199.730
f2s-20260726,2,1785091814026142000,1785091814225510000,199.368
f2s-20260726,3,1785091814278042000,1785091814488256000,210.214
f2s-20260726,4,1785091814530691000,1785091814732568000,201.877
f2s-20260726,5,1785091814783460000,1785091814988090000,204.630
f2s-20260726,6,1785091815036022000,1785091815250299000,214.277
f2s-20260726,7,1785091815288628000,1785091815503729000,215.101
f2s-20260726,8,1785091815541007000,1785091815784491000,243.484
f2s-20260726,9,1785091815792748000,1785091816031971000,239.223
f2s-20260726,10,1785091816045188000,1785091816290149000,244.961
f2s-20260726,11,1785091816297884000,1785091816546668000,248.784
f2s-20260726,12,1785091816550530000,1785091816804489000,253.959
