prefix,sequence,round_trip_ms
sf-init-rtt-20260726-1785093614,1,232.044
sf-init-rtt-20260726-1785093614,2,242.663
sf-init-rtt-20260726-1785093614,3,353.238
sf-init-rtt-20260726-1785093614,4,259.120
sf-init-rtt-20260726-1785093614,5,274.056
sf-init-rtt-20260726-1785093614,6,270.644
sf-init-rtt-20260726-1785093614,7,277.813
sf-init-rtt-20260726-1785093614,8,357.193
sf-init-rtt-20260726-1785093614,9,370.240
sf-init-rtt-20260726-1785093614,10,365.244
sf-init-rtt-20260726-1785093614,11,372.479
sf-init-rtt-20260726-1785093614,12,362.695
