prefix,sequence,sent_ns,received_ns,latency_ms
s2f-20260726,1,1785091813591031000,1785091813710579000,119.548
s2f-20260726,2,1785091813843308000,1785091813991647000,148.339
s2f-20260726,3,1785091814095844000,1785091814250007000,154.163
s2f-20260726,4,1785091814348668000,1785091814489736000,141.068
s2f-20260726,5,1785091814599250000,1785091814756201000,156.951
s2f-20260726,6,1785091814851773000,1785091815007407000,155.634
s2f-20260726,7,1785091815103424000,1785091815271327000,167.903
s2f-20260726,8,1785091815355907000,1785091815523667000,167.760
s2f-20260726,9,1785091815608386000,1785091815793093000,184.707
s2f-20260726,10,1785091815860422000,1785091816060157000,199.735
s2f-20260726,11,1785091816112238000,1785091816321756000,209.518
s2f-20260726,12,1785091816363235000,1785091816579747000,216.512
